2018.10.04 13:00:59 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [rules/activeRule] done | time=5028ms
2018.10.04 13:00:59 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [rules/ruleExtension],[rules/rule] ...
2018.10.04 13:01:07 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [rules/ruleExtension],[rules/rule] done | time=7968ms
2018.10.04 13:01:07 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [users/user] ...
2018.10.04 13:01:08 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [users/user] done | time=1031ms
2018.10.04 13:01:08 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [components/component] ...
2018.10.04 13:01:09 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [components/component] done | time=330ms
2018.10.04 13:01:09 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [views/view] ...
2018.10.04 13:01:09 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [views/view] done | time=391ms
2018.10.04 13:01:09 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [issues/issue] ...
2018.10.04 13:01:10 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [issues/issue] done | time=449ms
2018.10.04 13:01:10 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [components/authorization],[issues/authorization],[projectmeasures/authorization] ...
2018.10.04 13:01:10 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [components/authorization],[issues/authorization],[projectmeasures/authorization] done | time=619ms
2018.10.04 13:01:10 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [tests/test] ...
2018.10.04 13:01:10 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [tests/test] done | time=317ms
2018.10.04 13:01:10 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [projectmeasures/projectmeasure] ...
2018.10.04 13:01:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [projectmeasures/projectmeasure] done | time=328ms
2018.10.04 13:01:11 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2018.10.04 13:01:11 INFO  web[][o.s.s.p.Platform] WebServer is operational
2018.10.04 13:01:22 INFO  web[][o.s.p.StopWatcher] Stopping process
